rt,trial_type,trial_index,trial_number,time_elapsed,random_id,participant_id,technical_issues,response,stimulus,trial_phase,is_repeat,test_type,correct,old_image,new_image,correct_position,file_name,age,gender,memory_experiment_experience,task_guess,technical_issues_question,participant_is_group_member
NA,image-keyboard-response,5,1,16454,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbriefcase1.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,7,2,20460,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sscanner2.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,9,3,24467,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Seggs2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,11,4,28474,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Spie2.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,13,5,32480,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Scoffeemaker2.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,15,6,36486,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Eframe1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,17,7,40493,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sflask2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,19,8,44500,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n16bhammer.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,21,9,48507,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Egame2.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,23,10,52514,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbabytoy2.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,25,11,56521,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ebasket1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,27,12,60528,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Eglobe2.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,29,13,64534,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Egrapes1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,31,14,68541,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n09apenguin.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,33,15,72548,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sabacus2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,35,16,76554,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sgiftbag2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,37,17,80561,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ebicycle2.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,39,18,84567,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n11abatteries.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,41,19,88574,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ebread1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,43,20,92580,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Echocolatebar1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,45,21,96588,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n10bturkey.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,47,22,100595,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbooks2.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,49,23,104602,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sscissors1.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,51,24,108607,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sphone2.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,53,25,112614,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbelt2.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,55,26,116621,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Shairbrush1.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
