"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","2365","fullscreen","0","null","3368","p0njrbtzmo2","wolf","No","","","","","","","","","","","","",""
"","2988","survey-text","1","2.0.0","6361","p0njrbtzmo2","wolf","No","{""participant_id"":""wolf""}","","","","","","","","","","","",""
"","5423","html-keyboard-response","2","2.0.0","11785","p0njrbtzmo2","wolf","No"," ","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","12445","p0njrbtzmo2","wolf","No","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","13447","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","16454","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Sbriefcase1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","6","2.0.0","17457","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","20460","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Sscanner2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","8","2.0.0","21463","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","24467","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Seggs2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","10","2.0.0","25470","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","28474","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Spie2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","12","2.0.0","29476","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","32480","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Scoffeemaker2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","14","2.0.0","33483","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","36486","p0njrbtzmo2","wolf","No","null","stimuli/organized/EXEMPLAR/USED/Eframe1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","16","2.0.0","37489","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","40493","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Sflask2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","18","2.0.0","41495","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","44500","p0njrbtzmo2","wolf","No","null","stimuli/organized/Novel pairs (tested)/n16bhammer.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","20","2.0.0","45502","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","48507","p0njrbtzmo2","wolf","No","null","stimuli/organized/EXEMPLAR/USED/Egame2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","22","2.0.0","49510","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","52514","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Sbabytoy2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","24","2.0.0","53517","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","56521","p0njrbtzmo2","wolf","No","null","stimuli/organized/EXEMPLAR/USED/Ebasket1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","26","2.0.0","57524","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","60528","p0njrbtzmo2","wolf","No","null","stimuli/organized/EXEMPLAR/USED/Eglobe2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","28","2.0.0","61531","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","29","2.0.0","64534","p0njrbtzmo2","wolf","No","null","stimuli/organized/EXEMPLAR/USED/Egrapes1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","30","2.0.0","65537","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","68541","p0njrbtzmo2","wolf","No","null","stimuli/organized/Novel pairs (tested)/n09apenguin.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","32","2.0.0","69544","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","33","2.0.0","72548","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Sabacus2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","34","2.0.0","73551","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","35","2.0.0","76554","p0njrbtzmo2","wolf","No","null","stimuli/organized/STATE/USED/Sgiftbag2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","36","2.0.0","77558","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","37","2.0.0","80561","p0njrbtzmo2","wolf","No","null","stimuli/organized/EXEMPLAR/USED/Ebicycle2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","38","2.0.0","81563","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","39","2.0.0","84567","p0njrbtzmo2","wolf","No","null","stimuli/organized/Novel pairs (tested)/n11abatteries.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","40","2.0.0","85570","p0njrbtzmo2","wolf","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","41","2.0.0","88574","p0njrbtzmo2","wolf","No","null","stimuli/organized/EXEMPLAR/USED/Ebread1.jpg","","","","","memory","false","exemplar","true","","",""
