"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","1314","fullscreen","0","null","2317","p0vtkkgqpg4","mouse","Nope","","","","","","","","","","","","",""
"","1568","survey-text","1","2.0.0","3891","p0vtkkgqpg4","mouse","Nope","{""participant_id"":""mouse""}","","","","","","","","","","","",""
"","4715","html-keyboard-response","2","2.0.0","8608","p0vtkkgqpg4","mouse","Nope","Enter","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","9558","p0vtkkgqpg4","mouse","Nope","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","10560","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","13564","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/STATE/USED/Sapplesgreenbasket2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","6","2.0.0","14567","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","17570","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/STATE/USED/Sgiftbox2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","8","2.0.0","18572","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","21575","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/EXEMPLAR/USED/Ebasket1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","10","2.0.0","22578","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","25581","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/EXEMPLAR/USED/Ebicycle1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","12","2.0.0","26583","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","29587","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/EXEMPLAR/USED/Ecamera2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","14","2.0.0","30589","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","33593","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/STATE/USED/Sbottles2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","16","2.0.0","34596","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","37599","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/Novel pairs (tested)/n15bfootball.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","18","2.0.0","38602","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","41606","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/Novel pairs (tested)/n07bswimmingpool.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","20","2.0.0","42608","p0vtkkgqpg4","mouse","Nope","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","45611","p0vtkkgqpg4","mouse","Nope","null","stimuli/organized/STATE/USED/Sbriefcase1.jpg","","","","","memory","false","state","true","","",""
