"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","62589","fullscreen","0","null","63620","p149b8g84l6","jaguar","N/A","","","","","","","","","","","","",""
"","2949","survey-text","1","2.0.0","66590","p149b8g84l6","jaguar","N/A","{""participant_id"":""jaguar""}","","","","","","","","","","","",""
"","14141","html-keyboard-response","2","2.0.0","80734","p149b8g84l6","jaguar","N/A","j","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","81327","p149b8g84l6","jaguar","N/A","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","82332","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","85355","p149b8g84l6","jaguar","N/A","null","stimuli/organized/STATE/USED/Sbelt1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","6","2.0.0","86362","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","89374","p149b8g84l6","jaguar","N/A","null","stimuli/organized/STATE/USED/Spie1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","8","2.0.0","90391","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","93401","p149b8g84l6","jaguar","N/A","null","stimuli/organized/STATE/USED/Sdrum1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","10","2.0.0","94414","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","97420","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Ebread2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","12","2.0.0","98427","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","101433","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Ecamera1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","14","2.0.0","102435","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","105445","p149b8g84l6","jaguar","N/A","null","stimuli/organized/STATE/USED/Schinesefoodbox1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","16","2.0.0","106460","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","109466","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Efeather1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","18","2.0.0","110475","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","113481","p149b8g84l6","jaguar","N/A","null","stimuli/organized/STATE/USED/Sjuiceglass1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","20","2.0.0","114487","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","117503","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Eglobe1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","22","2.0.0","118513","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","121516","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Ecalculator1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","24","2.0.0","122527","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","125545","p149b8g84l6","jaguar","N/A","null","stimuli/organized/Novel pairs (tested)/n09bsaddle.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","26","2.0.0","126553","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","129563","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Echisel2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","28","2.0.0","130570","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","29","2.0.0","133579","p149b8g84l6","jaguar","N/A","null","stimuli/organized/Novel pairs (tested)/n03bbagel.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","30","2.0.0","134585","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","137589","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Echocolatebar1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","32","2.0.0","138598","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","33","2.0.0","141605","p149b8g84l6","jaguar","N/A","null","stimuli/organized/Novel pairs (tested)/n02aaxe.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","34","2.0.0","142609","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","35","2.0.0","145620","p149b8g84l6","jaguar","N/A","null","stimuli/organized/STATE/USED/Sdonut2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","36","2.0.0","146632","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","37","2.0.0","149649","p149b8g84l6","jaguar","N/A","null","stimuli/organized/STATE/USED/Sbooks2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","38","2.0.0","150652","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","39","2.0.0","153660","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Ecar1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","40","2.0.0","154667","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","41","2.0.0","157676","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Egrapes1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","42","2.0.0","158687","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","43","2.0.0","161693","p149b8g84l6","jaguar","N/A","null","stimuli/organized/STATE/USED/Sscissors2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","44","2.0.0","162710","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","45","2.0.0","165718","p149b8g84l6","jaguar","N/A","null","stimuli/organized/Novel pairs (tested)/n01bcoin.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","46","2.0.0","166732","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","47","2.0.0","169740","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Ebracelet2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","48","2.0.0","170743","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","49","2.0.0","173752","p149b8g84l6","jaguar","N/A","null","stimuli/organized/Novel pairs (tested)/n16abananas.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","50","2.0.0","174768","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","51","2.0.0","177778","p149b8g84l6","jaguar","N/A","null","stimuli/organized/Novel pairs (tested)/n19bhairbrush.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","52","2.0.0","178787","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","53","2.0.0","181790","p149b8g84l6","jaguar","N/A","null","stimuli/organized/Novel pairs (tested)/n18bsnail.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","54","2.0.0","182805","p149b8g84l6","jaguar","N/A","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","55","2.0.0","185812","p149b8g84l6","jaguar","N/A","null","stimuli/organized/EXEMPLAR/USED/Eframe2.jpg","","","","","memory","false","exemplar","true","","",""
