"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","1299","fullscreen","0","null","2318","pabn3c4rwn7","Koala","-","","","","","","","","","","","","",""
"","2269","survey-text","1","2.0.0","4591","pabn3c4rwn7","Koala","-","{""participant_id"":""Koala""}","","","","","","","","","","","",""
"","11559","html-keyboard-response","2","2.0.0","16152","pabn3c4rwn7","Koala","-"," ","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","16636","pabn3c4rwn7","Koala","-","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","17647","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","20674","pabn3c4rwn7","Koala","-","null","stimuli/organized/EXEMPLAR/USED/Ecalculator2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","6","2.0.0","21678","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","24685","pabn3c4rwn7","Koala","-","null","stimuli/organized/Novel pairs (tested)/n05bcactus.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","8","2.0.0","25700","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","28711","pabn3c4rwn7","Koala","-","null","stimuli/organized/EXEMPLAR/USED/Eframe2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","10","2.0.0","29725","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","32735","pabn3c4rwn7","Koala","-","null","stimuli/organized/STATE/USED/Sbrushes2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","12","2.0.0","33746","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","36763","pabn3c4rwn7","Koala","-","null","stimuli/organized/STATE/USED/Sbabytoy2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","14","2.0.0","37769","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","40772","pabn3c4rwn7","Koala","-","null","stimuli/organized/STATE/USED/Sdresser1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","16","2.0.0","41775","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","44782","pabn3c4rwn7","Koala","-","null","stimuli/organized/STATE/USED/Scookies1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","18","2.0.0","45788","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","48802","pabn3c4rwn7","Koala","-","null","stimuli/organized/EXEMPLAR/USED/Econe2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","20","2.0.0","49805","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","52817","pabn3c4rwn7","Koala","-","null","stimuli/organized/STATE/USED/Sphone1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","22","2.0.0","53831","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","56847","pabn3c4rwn7","Koala","-","null","stimuli/organized/EXEMPLAR/USED/Ebracelet2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","24","2.0.0","57861","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","60869","pabn3c4rwn7","Koala","-","null","stimuli/organized/EXEMPLAR/USED/Ecabinet2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","26","2.0.0","61883","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","64893","pabn3c4rwn7","Koala","-","null","stimuli/organized/STATE/USED/Sscanner2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","28","2.0.0","65901","pabn3c4rwn7","Koala","-","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
