"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","7005","fullscreen","0","null","8019","pb8qq8pp13x","hamster","no","","","","","","","","","","","","",""
"","1887","survey-text","1","2.0.0","9916","pb8qq8pp13x","hamster","no","{""participant_id"":""hamster""}","","","","","","","","","","","",""
"","22297","html-keyboard-response","2","2.0.0","32215","pb8qq8pp13x","hamster","no","Enter","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","35060","pb8qq8pp13x","hamster","no","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","36077","pb8qq8pp13x","hamster","no","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","39102","pb8qq8pp13x","hamster","no","null","stimuli/organized/Novel pairs (tested)/n06acane.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","6","2.0.0","40107","pb8qq8pp13x","hamster","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","43113","pb8qq8pp13x","hamster","no","null","stimuli/organized/Novel pairs (tested)/n04ayarn.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","8","2.0.0","44127","pb8qq8pp13x","hamster","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","47136","pb8qq8pp13x","hamster","no","null","stimuli/organized/Novel pairs (tested)/n11bsock.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","10","2.0.0","48144","pb8qq8pp13x","hamster","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","51152","pb8qq8pp13x","hamster","no","null","stimuli/organized/EXEMPLAR/USED/Echisel1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","12","2.0.0","52160","pb8qq8pp13x","hamster","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","55172","pb8qq8pp13x","hamster","no","null","stimuli/organized/EXEMPLAR/USED/Eframe2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","14","2.0.0","56177","pb8qq8pp13x","hamster","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","59184","pb8qq8pp13x","hamster","no","null","stimuli/organized/Novel pairs (tested)/n16abananas.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","16","2.0.0","60197","pb8qq8pp13x","hamster","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
