"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","2712","fullscreen","0","null","3717","pelxfk6mhwo","whale","no","","","","","","","","","","","","",""
"","2137","survey-text","1","2.0.0","5857","pelxfk6mhwo","whale","no","{""participant_id"":""whale""}","","","","","","","","","","","",""
"","4762","html-keyboard-response","2","2.0.0","10620","pelxfk6mhwo","whale","no"," ","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","10695","pelxfk6mhwo","whale","no","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","11710","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","1036","image-keyboard-response","5","2.0.0","14719","pelxfk6mhwo","whale","no"," ","stimuli/organized/STATE/USED/Slaptop1.JPG","","","","","memory","false","state","false","","",""
"","null","html-keyboard-response","6","2.0.0","15726","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px; color:red;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","18739","pelxfk6mhwo","whale","no","null","stimuli/organized/Novel pairs (tested)/n13bdustpan.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","8","2.0.0","19754","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","22764","pelxfk6mhwo","whale","no","null","stimuli/organized/STATE/USED/Sflask1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","10","2.0.0","23771","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","26786","pelxfk6mhwo","whale","no","null","stimuli/organized/STATE/USED/Shairbrush2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","12","2.0.0","27790","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","30793","pelxfk6mhwo","whale","no","null","stimuli/organized/STATE/USED/Sdresser2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","14","2.0.0","31799","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","34812","pelxfk6mhwo","whale","no","null","stimuli/organized/STATE/USED/Sscissors2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","16","2.0.0","35818","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","38825","pelxfk6mhwo","whale","no","null","stimuli/organized/EXEMPLAR/USED/Efan1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","18","2.0.0","39831","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","42834","pelxfk6mhwo","whale","no","null","stimuli/organized/Novel pairs (tested)/n09bsaddle.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","20","2.0.0","43838","pelxfk6mhwo","whale","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
