"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","1176","fullscreen","0","null","2180","pgvzc8kpy7d","turtle","no","","","","","","","","","","","","",""
"","3276","survey-text","1","2.0.0","5460","pgvzc8kpy7d","turtle","no","{""participant_id"":""turtle""}","","","","","","","","","","","",""
"","10971","html-keyboard-response","2","2.0.0","16433","pgvzc8kpy7d","turtle","no"," ","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","16811","pgvzc8kpy7d","turtle","no","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","17812","pgvzc8kpy7d","turtle","no","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","20815","pgvzc8kpy7d","turtle","no","null","stimuli/organized/STATE/USED/Sbottles2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","6","2.0.0","21818","pgvzc8kpy7d","turtle","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","24821","pgvzc8kpy7d","turtle","no","null","stimuli/organized/STATE/USED/Sbreadbox1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","8","2.0.0","25823","pgvzc8kpy7d","turtle","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","28827","pgvzc8kpy7d","turtle","no","null","stimuli/organized/Novel pairs (tested)/n19apickle.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","10","2.0.0","29829","pgvzc8kpy7d","turtle","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","32832","pgvzc8kpy7d","turtle","no","null","stimuli/organized/STATE/USED/Shairbrush1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","12","2.0.0","33834","pgvzc8kpy7d","turtle","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","36836","pgvzc8kpy7d","turtle","no","null","stimuli/organized/EXEMPLAR/USED/Ebasket1.jpg","","","","","memory","false","exemplar","true","","",""
