"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","3807","fullscreen","0","null","4812","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","","","","","","","","","","","","",""
"","2523","survey-text","1","2.0.0","7340","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","{""participant_id"":""panda""}","","","","","","","","","","","",""
"","6333","html-keyboard-response","2","2.0.0","13674","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test"," ","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","14413","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","15414","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","18421","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/Novel pairs (tested)/n06acane.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","6","2.0.0","19424","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","22427","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Sdonut2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","8","2.0.0","23430","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","26434","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Sbreadbox1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","10","2.0.0","27437","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","30441","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Scontainer1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","12","2.0.0","31443","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","34446","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/EXEMPLAR/USED/Ebicycle2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","14","2.0.0","35449","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","38453","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Spie2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","16","2.0.0","39456","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","42459","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/EXEMPLAR/USED/Efeather1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","18","2.0.0","43463","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","46467","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Scrayons2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","20","2.0.0","47468","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","50472","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/EXEMPLAR/USED/Ecabinet2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","22","2.0.0","51475","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","54479","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/EXEMPLAR/USED/Egrapes1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","24","2.0.0","55482","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","58486","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Sgrinder1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","26","2.0.0","59489","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","62492","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/Novel pairs (tested)/n18apretzel.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","28","2.0.0","63495","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","29","2.0.0","66498","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Sbriefcase2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","30","2.0.0","67501","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","70504","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/Novel pairs (tested)/n10awindmill.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","32","2.0.0","71507","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","33","2.0.0","74510","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Sbox2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","34","2.0.0","75513","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","35","2.0.0","78515","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/Novel pairs (tested)/n05bcactus.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","36","2.0.0","79518","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","37","2.0.0","82522","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Sfiretrucktoy1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","38","2.0.0","83525","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","39","2.0.0","86528","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/EXEMPLAR/USED/Eglobe2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","40","2.0.0","87531","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","41","2.0.0","90535","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/EXEMPLAR/USED/Ecalculator2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","42","2.0.0","91538","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","43","2.0.0","94542","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","stimuli/organized/STATE/USED/Sbelt2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","44","2.0.0","95545","pja7qwucv41","panda","sometimes I had to press the spacebar multiple times for the first part of the memory test","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
