"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","23353","fullscreen","0","null","24358","pnheyqmuf9u","swan","No","","","","","","","","","","","","",""
"","3055","survey-text","1","2.0.0","27417","pnheyqmuf9u","swan","No","{""participant_id"":""swan""}","","","","","","","","","","","",""
"","7467","html-keyboard-response","2","2.0.0","34885","pnheyqmuf9u","swan","No","b","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","35513","pnheyqmuf9u","swan","No","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","36514","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","39519","pnheyqmuf9u","swan","No","null","stimuli/organized/EXEMPLAR/USED/Egoggles2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","6","2.0.0","40521","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","43525","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Sdrum2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","8","2.0.0","44527","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","47531","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Sdishes2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","10","2.0.0","48534","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","51537","pnheyqmuf9u","swan","No","null","stimuli/organized/EXEMPLAR/USED/Eframe1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","12","2.0.0","52540","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","55543","pnheyqmuf9u","swan","No","null","stimuli/organized/Novel pairs (tested)/n13bdustpan.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","14","2.0.0","56546","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","59548","pnheyqmuf9u","swan","No","null","stimuli/organized/EXEMPLAR/USED/Ebicycle1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","16","2.0.0","60551","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","63555","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Sdie1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","18","2.0.0","64557","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","67560","pnheyqmuf9u","swan","No","null","stimuli/organized/EXEMPLAR/USED/Ecalculator2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","20","2.0.0","68562","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","71565","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Sbooks1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","22","2.0.0","72568","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","75573","pnheyqmuf9u","swan","No","null","stimuli/organized/Novel pairs (tested)/n05abarrel.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","24","2.0.0","76575","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","79577","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Sbabytoy2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","26","2.0.0","80580","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","83583","pnheyqmuf9u","swan","No","null","stimuli/organized/EXEMPLAR/USED/Efeather1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","28","2.0.0","84586","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","29","2.0.0","87589","pnheyqmuf9u","swan","No","null","stimuli/organized/EXEMPLAR/USED/Ebasket2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","30","2.0.0","88592","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","91594","pnheyqmuf9u","swan","No","null","stimuli/organized/Novel pairs (tested)/n19apickle.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","32","2.0.0","92596","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","33","2.0.0","95599","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Scrayons1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","34","2.0.0","96602","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","35","2.0.0","99606","pnheyqmuf9u","swan","No","null","stimuli/organized/Novel pairs (tested)/n15bfootball.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","36","2.0.0","100609","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","858","image-keyboard-response","37","2.0.0","103612","pnheyqmuf9u","swan","No"," ","stimuli/organized/EXEMPLAR/USED/Eframe1.jpg","","","","","memory","true","exemplar","true","","",""
"","null","html-keyboard-response","38","2.0.0","104614","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","39","2.0.0","107617","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Sabacus1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","40","2.0.0","108620","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","41","2.0.0","111623","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Scontainer2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","42","2.0.0","112625","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","43","2.0.0","115628","pnheyqmuf9u","swan","No","null","stimuli/organized/Novel pairs (tested)/n20acarseat.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","44","2.0.0","116631","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","45","2.0.0","119634","pnheyqmuf9u","swan","No","null","stimuli/organized/STATE/USED/Sphone1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","46","2.0.0","120637","pnheyqmuf9u","swan","No","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","47","2.0.0","123640","pnheyqmuf9u","swan","No","null","stimuli/organized/EXEMPLAR/USED/Ebread1.jpg","","","","","memory","false","exemplar","true","","",""
