"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","1518","fullscreen","0","null","2523","pqzd1dx58d0","alpaca","no","","","","","","","","","","","","",""
"","2887","survey-text","1","2.0.0","5415","pqzd1dx58d0","alpaca","no","{""participant_id"":""alpaca""}","","","","","","","","","","","",""
"","4291","html-keyboard-response","2","2.0.0","9710","pqzd1dx58d0","alpaca","no"," ","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","10088","pqzd1dx58d0","alpaca","no","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","11091","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","14098","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sgiftbag1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","6","2.0.0","15101","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","18106","pqzd1dx58d0","alpaca","no","null","stimuli/organized/EXEMPLAR/USED/Egame2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","8","2.0.0","19109","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","22113","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sbriefcase2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","10","2.0.0","23115","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","26119","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sdie1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","12","2.0.0","27123","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","30127","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sgiftbox2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","14","2.0.0","31130","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","34134","pqzd1dx58d0","alpaca","no","null","stimuli/organized/Novel pairs (tested)/n20acarseat.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","16","2.0.0","35137","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","38140","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sjuiceglass1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","18","2.0.0","39143","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","42147","pqzd1dx58d0","alpaca","no","null","stimuli/organized/EXEMPLAR/USED/Eframe2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","20","2.0.0","43150","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","46155","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Schinesefoodbox2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","22","2.0.0","47157","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","50161","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Slaptop2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","24","2.0.0","51164","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","54168","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sgrinder1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","26","2.0.0","55169","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","58172","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sfiretrucktoy2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","28","2.0.0","59176","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","29","2.0.0","62179","pqzd1dx58d0","alpaca","no","null","stimuli/organized/EXEMPLAR/USED/Ecar1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","30","2.0.0","63182","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","66186","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sbox1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","32","2.0.0","67190","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","33","2.0.0","70195","pqzd1dx58d0","alpaca","no","null","stimuli/organized/Novel pairs (tested)/n05abarrel.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","34","2.0.0","71198","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","35","2.0.0","74202","pqzd1dx58d0","alpaca","no","null","stimuli/organized/EXEMPLAR/USED/Edispenser1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","36","2.0.0","75205","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","37","2.0.0","78209","pqzd1dx58d0","alpaca","no","null","stimuli/organized/Novel pairs (tested)/n02aaxe.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","38","2.0.0","79212","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","39","2.0.0","82215","pqzd1dx58d0","alpaca","no","null","stimuli/organized/EXEMPLAR/USED/Efan2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","40","2.0.0","83218","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","41","2.0.0","86221","pqzd1dx58d0","alpaca","no","null","stimuli/organized/Novel pairs (tested)/n06blipstick.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","42","2.0.0","87224","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","43","2.0.0","90227","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sbrushes1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","44","2.0.0","91231","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","45","2.0.0","94235","pqzd1dx58d0","alpaca","no","null","stimuli/organized/STATE/USED/Sbreadbox2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","46","2.0.0","95238","pqzd1dx58d0","alpaca","no","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
