"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","1054","fullscreen","0","null","2059","prxu5zghj5w","sheep","nopee","","","","","","","","","","","","",""
"","3793","survey-text","1","2.0.0","5857","prxu5zghj5w","sheep","nopee","{""participant_id"":""sheep""}","","","","","","","","","","","",""
"","8516","html-keyboard-response","2","2.0.0","14375","prxu5zghj5w","sheep","nopee"," ","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","14760","prxu5zghj5w","sheep","nopee","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","15763","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","18769","prxu5zghj5w","sheep","nopee","null","stimuli/organized/STATE/USED/Shairbrush2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","6","2.0.0","19772","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","22776","prxu5zghj5w","sheep","nopee","null","stimuli/organized/EXEMPLAR/USED/Echisel2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","8","2.0.0","23780","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","26784","prxu5zghj5w","sheep","nopee","null","stimuli/organized/STATE/USED/Sdishes1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","10","2.0.0","27787","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","30791","prxu5zghj5w","sheep","nopee","null","stimuli/organized/EXEMPLAR/USED/Econe2.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","12","2.0.0","31794","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","34797","prxu5zghj5w","sheep","nopee","null","stimuli/organized/STATE/USED/Scrayons1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","14","2.0.0","35799","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","38803","prxu5zghj5w","sheep","nopee","null","stimuli/organized/EXEMPLAR/USED/Eframe1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","16","2.0.0","39805","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","42808","prxu5zghj5w","sheep","nopee","null","stimuli/organized/STATE/USED/Sjuiceglass1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","18","2.0.0","43812","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","46815","prxu5zghj5w","sheep","nopee","null","stimuli/organized/STATE/USED/Sdonut1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","20","2.0.0","47818","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","50822","prxu5zghj5w","sheep","nopee","null","stimuli/organized/STATE/USED/Sbooks1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","22","2.0.0","51825","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","54829","prxu5zghj5w","sheep","nopee","null","stimuli/organized/STATE/USED/Sdrum1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","24","2.0.0","55832","prxu5zghj5w","sheep","nopee","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
